count,tension_left,ms_left,ms_left_model,ms_speed_left,ms_speed_left_model,pressure_left,g_pressure_1,tension_right,ms_right,ms_right_model,ms_speed_right,ms_speed_right_model,pressure_right,g_pressure_2,start of cycle,angle,m5_Ia_+,m5_Ia_model_+,m5_Ia_-,m5_Ia_model_-,m5_Ib_-,m5_Ib_+,m7_Ia_+,m7_Ia_model_+,m7_Ia_-,m7_Ia_model_-,m7_Ib_-,m7_Ib_+,5.13243,2.3294,4.18E+11,-16548.8,17229,16319
26,-37,-1.41194,8.03E+21,-3.25975,1.13E+23,0.518204,0.6,1551,-0.300857,-197348,-0.561485,-4.99E+28,0.54483,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
27,-37,-1.43577,1.03E+22,-3.11187,1.40E+23,0.523773,0.6,1457,-0.306814,-72473.7,-0.481266,-4.95E+28,0.549103,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
28,-45,-1.45662,1.27E+22,-2.95103,1.73E+23,0.52858,0.6,1409,-0.309793,-2.99E+08,-0.438309,-3.59E+28,0.55452,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
29,-46,-1.47449,1.58E+22,-2.64855,2.08E+23,0.533386,0.6,1415,-0.309793,-942886,-0.382352,-2.06E+28,0.558563,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
30,-38,-1.51024,1.96E+22,-2.42916,2.49E+23,0.537582,0.6,1472,-0.312772,-1.67E+06,-0.296117,-8.77E+27,0.562225,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
31,-29,-1.51322,2.73E+22,-2.30347,3.22E+23,0.542236,0.6,1565,-0.31575,17196.7,-0.240675,-1.50E+27,0.566116,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
32,-28,-1.53705,3.47E+22,-2.07008,4.45E+23,0.546127,0.6,1670,-0.312772,844109,-0.192937,1.91E+27,0.569092,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
33,-30,-1.59067,3.98E+22,-2.11474,5.60E+23,0.549484,0.6,1770,-0.312772,569909,-0.101249,2.80E+27,0.572067,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
34,-33,-1.61748,4.42E+22,-2.6223,6.04E+23,0.552689,0.6,1863,-0.312772,-4.43E+06,-0.0161071,2.41E+27,0.574585,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
35,-30,-1.60556,5.57E+22,-2.76435,6.29E+23,0.555359,0.6,1863,-0.309793,352522,0.0433689,1.60E+27,0.57634,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
36,-25,-1.61748,9.11E+22,-2.17718,8.91E+23,0.55864,0.6,2027,-0.312772,259313,0.0762082,8.34E+26,0.5784,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
37,-26,-1.62641,9.77E+22,-1.4873,1.36E+24,0.560623,0.6,2058,-0.309793,3.37E+06,0.0692526,2.93E+26,0.580231,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
38,-34,-1.66216,7.54E+22,-1.24126,1.36E+24,0.562836,0.6,2058,-0.31575,-1.15E+06,0.0277656,-9.71E+24,0.581375,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
39,-39,-1.67705,7.48E+22,-1.44476,7.34E+23,0.564972,0.6,2028,-0.31575,481908,-0.0568272,-1.32E+26,0.582672,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
40,-34,-1.67407,9.41E+22,-1.55879,2.50E+23,0.56665,0.6,1972,-0.31575,1.71E+06,-0.116413,-1.47E+26,0.584198,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
41,-25,-1.6979,2.39E+23,-1.40539,1.21E+24,0.568939,0.6,1892,-0.318729,2.97E+06,-0.129622,-1.13E+26,0.584808,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
