count,tension_left,ms_left,ms_left_model,ms_speed_left,ms_speed_left_model,pressure_left,g_pressure_1,tension_right,ms_right,ms_right_model,ms_speed_right,ms_speed_right_model,pressure_right,g_pressure_2,start of cycle,angle,m5_Ia_+,m5_Ia_model_+,m5_Ia_-,m5_Ia_model_-,m5_Ib_-,m5_Ib_+,m7_Ia_+,m7_Ia_model_+,m7_Ia_-,m7_Ia_model_-,m7_Ib_-,m7_Ib_+,4.8137,2.31153,7.17E+10,-16683.7,17040,16260
26,13,-1.09917,2.64E+21,-3.38205,3.83E+22,0.518967,0.6,420,-0.247239,-80085,-0.40623,2.74E+51,0.546738,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
27,12,-1.08725,3.04E+21,-3.25858,-2.39E+22,0.524918,0.6,454,-0.247239,-1.15E+06,-0.358988,-1.20E+52,0.549332,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
28,12,-1.14385,3.54E+21,-2.86845,-3.03E+22,0.5298,0.6,469,-0.256175,-478128,-0.32266,-1.49E+52,0.554596,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
29,5,-1.18555,2.25E+21,-2.89385,-2.40E+22,0.534378,0.6,460,-0.253196,1.09E+06,-0.320727,-1.20E+52,0.558258,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
30,-8,-1.20343,-4.61E+22,-3.1832,-3.53E+23,0.538879,0.6,435,-0.256175,833568,-0.273459,-7.61E+51,0.561081,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
31,-17,-1.23321,5.43E+22,-3.16304,-3.77E+23,0.542694,0.6,397,-0.259154,3.00E+07,-0.220119,-3.73E+51,0.565582,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
32,-20,-1.2213,5.55E+22,-2.74076,7.45E+23,0.546814,0.6,347,-0.262132,9.87E+06,-0.218637,-1.13E+51,0.567795,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
33,-18,-1.27194,1.04E+23,-2.20702,2.02E+24,0.550095,0.6,294,-0.265111,2.71E+06,-0.239008,2.53E+50,0.569931,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
34,-13,-1.27492,-1.17E+23,-2.01166,1.18E+24,0.553528,0.6,249,-0.265111,-2.57E+06,-0.242946,7.55E+50,0.574661,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
35,-6,-1.27194,-3.65E+22,-1.7484,-1.58E+24,0.556198,0.6,217,-0.262132,2.28E+06,-0.179019,7.58E+50,0.575577,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
36,1,-1.28981,4.97E+21,-1.26789,-2.42E+24,0.559021,0.6,193,-0.26809,1.94E+06,-0.104288,5.55E+50,0.577103,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
37,10,-1.28683,9.35E+21,-0.927341,-9.87E+23,0.561234,0.6,169,-0.26809,-411598,-0.105261,3.21E+50,0.58168,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
38,16,-1.32556,1.21E+22,-0.876312,2.26E+23,0.563522,0.6,145,-0.274048,-1.49E+06,-0.15722,1.38E+50,0.582214,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
39,13,-1.35534,1.20E+22,-1.31827,7.31E+23,0.565506,0.6,122,-0.271069,5.99E+06,-0.196202,2.53E+49,0.58313,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
40,8,-1.34641,1.05E+22,-1.74467,7.50E+23,0.567184,0.6,104,-0.271069,296668,-0.159354,-2.81E+49,0.586029,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
41,7,-1.3613,1.06E+22,-1.63012,5.36E+23,0.568939,0.6,89,-0.271069,476029,-0.0811596,-4.26E+49,0.586487,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
42,2,-1.35832,7.77E+21,-1.26329,2.75E+23,0.570312,0.6,75,-0.274048,-504061,-0.0469457,-3.71E+49,0.587173,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
43,-8,-1.38215,-7.31E+23,-0.991358,-4.91E+24,0.572144,0.6,64,-0.274048,-131085,-0.0600823,-2.48E+49,0.589844,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
44,-10,-1.3762,-5.70E+22,-0.87212,-1.12E+25,0.573288,0.6,55,-0.274048,272356,-0.069257,-1.30E+49,0.590302,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
45,-4,-1.40598,-7.17E+10,-0.867883,-6.27E+24,0.574585,0.6,47,-0.280005,164908,-0.09436,-4.66E+48,0.590836,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
46,1,-1.40003,9.25E+21,-0.952039,2.79E+24,0.575729,0.6,37,-0.282984,265923,-0.179261,5.09E+46,0.592514,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
47,2,-1.42386,1.00E+22,-1.00996,6.29E+24,0.576263,0.6,28,-0.280005,-427219,-0.225926,1.98E+48,0.592972,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
48,6,-1.43577,1.39E+22,-1.12141,6.13E+24,0.57756,0.6,25,-0.280005,-363222,-0.164216,2.25E+48,0.593353,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
49,14,-1.43279,1.90E+22,-1.16485,4.51E+24,0.578094,0.6,28,-0.280005,-413733,-0.07443,1.75E+48,0.594879,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
50,20,-1.44769,2.18E+22,-1.00845,2.73E+24,0.579086,0.6,33,-0.280005,435838,-0.0172831,1.07E+48,0.595108,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
51,16,-1.43577,2.12E+22,-0.771692,1.33E+24,0.580078,0.6,34,-0.282984,349037,-0.00902694,5.02E+47,0.594803,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
52,6,-1.44769,1.53E+22,-0.485706,3.63E+23,0.580078,0.6,32,-0.277026,650341,-0.00317202,1.32E+47,0.596634,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
53,6,-1.45066,1.58E+22,-0.336561,-2.13E+23,0.58107,0.6,31,-0.280005,1.72E+06,0.0401887,-5.62E+46,0.596863,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
54,6,-1.4596,1.63E+22,-0.364211,-4.23E+23,0.581757,0.6,31,-0.277026,1.72E+06,0.0674477,-1.19E+47,0.596863,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
55,11,-1.46556,1.99E+22,-0.457425,-3.62E+23,0.58168,0.6,31,-0.282984,1.84E+06,0.040856,-1.13E+47,0.597549,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
56,17,-1.48343,2.38E+22,-0.632671,-1.61E+23,0.582977,0.6,29,-0.285963,-385027,-0.0608041,-7.97E+46,0.59816,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
57,12,-1.49237,2.17E+22,-0.87485,2.81E+22,0.583359,0.6,25,-0.280005,-332793,-0.126345,-4.46E+46,0.598083,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
58,3,-1.5013,1.42E+22,-1.03912,4.66E+22,0.582977,0.6,23,-0.280005,-312940,-0.0594316,-1.81E+46,0.598694,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
59,-1,-1.51322,1.55E+22,-1.0865,-6.45E+22,0.584045,0.6,19,-0.280005,-330444,0.0241965,-2.24E+45,0.599152,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
60,6,-1.51322,1.79E+22,-1.03269,-1.10E+23,0.584274,0.6,15,-0.280005,-370441,0.0521897,4.90E+45,0.598923,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
61,16,-1.52216,2.46E+22,-0.871738,-1.40E+22,0.584427,0.6,14,-0.288941,-382024,-0.0103705,6.52E+45,0.599304,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
62,20,-1.52216,2.68E+22,-0.690152,1.51E+23,0.58519,0.6,16,-0.285963,-355290,-0.133485,5.43E+45,0.599533,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
63,18,-1.52513,2.60E+22,-0.50901,2.48E+23,0.585114,0.6,20,-0.288941,-320163,-0.188361,3.52E+45,0.599686,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
64,17,-1.54003,2.59E+22,-0.436802,2.24E+23,0.585419,0.6,19,-0.288941,-326494,-0.180212,1.78E+45,0.599838,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
65,21,-1.54301,2.77E+22,-0.528974,1.60E+23,0.585876,0.6,15,-0.29192,-362667,-0.168246,5.80E+44,0.600372,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
66,31,-1.54003,2.95E+22,-0.544258,1.26E+23,0.585953,0.6,14,-0.294899,-375840,-0.177938,-7.12E+43,0.600525,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
67,41,-1.54003,2.97E+22,-0.383764,1.15E+23,0.586182,0.6,19,-0.29192,-324069,-0.173919,-3.21E+44,0.600296,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
68,46,-1.54301,2.96E+22,-0.214,9.38E+22,0.586563,0.6,24,-0.29192,-309827,-0.105315,-3.37E+44,0.600906,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
69,46,-1.54301,2.96E+22,-0.126222,5.96E+22,0.586563,0.6,25,-0.294899,-319174,-0.0485751,-2.53E+44,0.600754,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
70,39,-1.54301,3.05E+22,-0.0759505,3.49E+22,0.586868,0.6,24,-0.29192,-310367,-0.0320925,-1.50E+44,0.600754,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
71,35,-1.54003,3.08E+22,-0.0147216,2.96E+22,0.587097,0.6,23,-0.294899,-304505,-0.0167141,-6.70E+43,0.601212,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
72,38,-1.54301,3.10E+22,0.0344887,3.11E+22,0.587326,0.6,22,-0.29192,-304220,-0.00587091,-1.46E+43,0.601288,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
73,42,-1.54003,3.10E+22,0.045428,2.76E+22,0.587479,0.6,21,-0.294899,-307151,0.000258294,1.09E+43,0.601364,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
74,45,-1.54301,3.07E+22,0.0375957,1.71E+22,0.587479,0.6,20,-0.294899,-311520,-0.0171919,1.85E+43,0.601593,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
75,48,-1.54301,3.05E+22,0.0041731,2.80E+21,0.587708,0.6,20,-0.29192,-311812,-0.0196974,1.67E+43,0.601517,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
76,47,-1.54599,3.08E+22,-0.0507325,-5.74E+21,0.58786,0.6,21,-0.294899,-306618,0.00463603,1.14E+43,0.601517,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
77,42,-1.56386,3.14E+22,-0.219788,-1.04E+21,0.58786,0.6,20,-0.297878,-310128,-0.0265355,6.15E+42,0.601974,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
78,42,-1.56386,3.17E+22,-0.490487,1.26E+22,0.588165,0.6,14,-0.297878,-370426,-0.0922638,2.32E+42,0.601822,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
