count,tension_left,ms_left,ms_left_model,ms_speed_left,ms_speed_left_model,pressure_left,g_pressure_1,tension_right,ms_right,ms_right_model,ms_speed_right,ms_speed_right_model,natural_length_right_model,deformation_right_model,natural_length_left_model,deformation_left_model,pressure_right,g_pressure_2,start of cycle,angle,m5_Ia_+,m5_Ia_model_+,m5_Ia_-,m5_Ia_model_-,m5_Ib_-,m5_Ib_+,m7_Ia_+,m7_Ia_model_+,m7_Ia_-,m7_Ia_model_-,m7_Ib_-,m7_Ib_+,4.67966,2.78218,170.062,178.515,11146,14502,0.109863
285,8,-0.795334,150.17,-0.277803,-63.6222,0.305191,0.314,52,-0.375326,146.191,0.0594986,33.7312,143.996,2.19558,151.758,-1.58763,0.490814,0.486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
286,6,-0.810228,150.568,-0.409305,-66.2585,0.305801,0.3144,40,-0.378305,145.728,0.160374,20.3454,144.028,1.69962,151.721,-1.15333,0.490356,0.4856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
287,8,-0.825121,150.124,-0.69229,-51.4801,0.30603,0.3148,35,-0.378305,145.551,0.158794,0.230702,144.06,1.49119,151.708,-1.58363,0.489899,0.4852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
288,14,-0.813206,148.578,-0.841194,-45.1478,0.306488,0.3152,39,-0.381284,145.745,0.0753212,-12.2971,144.087,1.65816,151.68,-3.10177,0.489517,0.4848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
289,11,-0.816185,149.355,-0.635111,-48.8874,0.307175,0.3156,47,-0.372347,146.082,0.0404239,-10.464,144.092,1.98996,151.639,-2.28425,0.489441,0.4844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
290,1,-0.816185,151.45,-0.338555,-23.1753,0.307327,0.316,53,-0.375326,146.346,0.0949659,0.703251,144.108,2.23711,151.63,-0.179511,0.489212,0.484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
291,-3,-0.819164,152.108,-0.164702,31.3835,0.307938,0.3164,51,-0.378305,146.339,0.0919078,10.866,144.183,2.15521,151.593,0.514899,0.488144,0.4836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
292,4,-0.819164,150.827,-0.0883836,59.6963,0.308319,0.3168,44,-0.378305,146.039,0.00599864,11.7914,144.173,1.86612,151.57,-0.743196,0.488297,0.4832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
293,11,-0.825121,149.271,-0.0928625,32.0812,0.308777,0.3172,37,-0.372347,145.785,-0.0111403,3.22795,144.21,1.57509,151.543,-2.27176,0.487762,0.4828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
294,14,-0.819164,148.451,-0.109415,-22.9044,0.309158,0.3176,38,-0.369368,145.876,0.084573,-5.97754,144.259,1.61693,151.52,-3.06811,0.487076,0.4824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
295,12,-0.837037,148.978,-0.166362,-57.3177,0.30954,0.318,42,-0.378305,146.042,0.121276,-7.53561,144.259,1.7834,151.497,-2.51865,0.487076,0.482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
296,12,-0.825121,148.966,-0.264508,-54.5818,0.309769,0.3184,42,-0.378305,146.069,0.00393044,-3.12826,144.285,1.78348,151.483,-2.51659,0.486694,0.4816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
297,16,-0.813206,147.78,-0.113541,-43.3024,0.310455,0.3188,36,-0.369368,145.878,-0.0455763,-0.26676,144.344,1.53364,151.442,-3.66152,0.485855,0.4812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
298,15,-0.831079,148.084,0.0994916,-40.9021,0.310684,0.3192,30,-0.369368,145.637,0.0660548,-3.00266,144.355,1.28211,151.428,-3.34347,0.485703,0.4808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
299,7,-0.840015,150.064,-0.0587071,-19.4883,0.310989,0.3196,28,-0.36639,145.591,0.174151,-8.13684,144.393,1.19797,151.41,-1.34534,0.485168,0.4804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
300,2,-0.8281,151.022,-0.267542,29.6023,0.311447,0.32,31,-0.369368,145.749,0.191694,-9.23298,144.425,1.32427,151.382,-0.359723,0.484711,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
301,4,-0.834058,150.614,-0.221363,65.2673,0.311981,0.3204,40,-0.369368,146.152,0.12717,-2.67556,144.452,1.70078,151.35,-0.736262,0.484329,0.4796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
