Count,OriginalData,MovingAverage
1,73.2474,3.99575
2,103.408,3.76643
3,-34.3668,-1.37887
4,-154.726,2.7599
5,-119.121,13.5976
6,-1.46091,21.7529
7,101.595,17.85
8,134.422,4.09181
9,65.1125,-6.26747
10,-18.9733,-7.99142
11,-118.337,-3.45516
12,-95.9072,7.70009
13,0,15.2914
14,-33.8607,12.1547
15,-115.787,7.8749
16,-39.9295,13.2338
17,156.647,20.6183
18,148.315,16.9414
19,21.6553,7.70622
20,7.98219,2.30054
21,68.661,-0.561925
22,0.502058,-2.43323
23,48.4086,-0.975077
24,62.0285,-2.46218
25,43.985,-6.04103
26,-79.5203,-9.73942
27,-173.568,-8.21696
28,-72.7635,0.411587
29,30.6335,9.94661
30,71.7519,14.2355
31,104.768,9.3534
32,55.919,-3.73055
33,-62.7347,-13.684
34,-119.456,-12.2506
35,-8.60874,-3.03037
36,107.76,3.40002
37,83.1086,4.57972
38,-36.3881,3.8081
39,-86.4582,7.45862
40,-49.2671,12.1265
41,31.2348,12.008
42,29.6652,3.83626
43,18.6665,-3.5486
44,-9.54854,-8.0928
45,-29.9828,-13.637
46,-49.0711,-18.8273
47,-0.996983,-12.6624
48,117.937,-0.0373566
49,116.411,2.26614
50,-25.8898,-6.38153
51,-156.911,-14.5876
52,-143.15,-12.923
53,-34.0674,-3.47642
54,64.9493,4.1855
55,119.999,4.54191
56,131.354,-1.53314
57,67.6762,-10.0448
58,36.6222,-15.5141
59,6.90005,-17.8673
60,-51.6386,-17.144
61,-132.199,-13.5837
62,-118.032,-7.95217
63,-72.2176,-1.07108
64,-120.433,7.48163
65,-133.789,14.9031
66,74.2285,16.2145
67,251.503,7.35912
68,164.007,-4.24081
69,-56.5424,-6.65021
70,-190.012,-0.0409462
71,-123.619,8.48763
72,45.7823,10.3619
73,119.171,4.88754
74,72.0776,-1.524
75,-1.50203,-2.65183
76,-38.8788,2.39015
77,-41.7098,5.33686
78,-10.4415,0.453699
79,21.3644,-10.6661
80,19.5684,-19.7733
81,-19.5684,-20.613
82,19.5898,-9.34839
83,98.8366,3.05837
84,27.9953,3.3134
85,-107.561,-6.32742
86,-102.878,-12.507
87,19.5043,-7.38714
88,115.819,-1.52536
89,75.6429,-3.16714
90,-19.4404,-6.38777
91,-86.1335,-5.44057
92,-63.7051,-2.11204
93,-9.05984,0.405548
94,49.521,0.957552
95,99.3376,-4.11835
96,20.0554,-14.7178
97,-139.373,-16.9079
98,-232.837,-2.07789
99,-160.78,19.1054
100,2.77522,27.0943
101,205.723,22.6314
102,267.725,8.76506
103,103.937,0.842408
104,-164.821,2.12781
105,-231.152,10.7897
106,-0.481395,18.3186
107,136.74,11.4993
108,82.9832,-5.71104
109,11.2303,-16.0728
110,-0.496246,-11.0286
111,-19.563,-2.06536
112,-13.3533,-0.0455447
113,1.98024,-2.54586
114,-51.9971,-2.62024
115,-112.652,6.13231
116,-23.7458,16.6287
117,157.227,18.2062
118,190.829,8.06178
119,-1.00196,-1.98286
120,-86.4826,-0.951279
121,-71.6042,4.29254
122,109.272,7.37612
123,129.645,3.31731
124,8.4167,-0.874439
125,-80.5741,0.0993368
126,-136.867,3.65684
127,-207.467,5.95825
128,-124.251,6.73115
129,112.113,3.81865
130,178.769,-2.35686
131,20.8332,-4.96546
132,-63.3596,2.57528
133,0.492589,10.4586
134,123.054,13.255
135,97.2761,10.6587
136,7.80354,7.04171
137,-45.6611,2.30318
138,-10.0638,-3.52622
139,19.6297,-8.70128
140,18.3937,-9.70741
141,-9.93256,-9.45837
142,28.0959,-11.6991
143,45.8099,-15.9497
144,27.8922,-18.2158
145,-9.42401,-17.9534
146,-90.8387,-16.7252
147,-192.009,-10.1433
148,-182.501,1.51044
149,-11.3973,17.4464
150,126.597,26.7722
151,171.648,26.1985
152,94.3062,18.4652
153,56.4207,12.1693
154,71.1289,8.58576
155,24.936,6.17821
156,-86.9672,7.70623
157,-162.249,10.6505
158,-113.565,15.4168
159,-0.492862,18.6733
160,23.3745,18.3642
161,-54.7473,18.218
162,-56.9151,24.5168
163,0.486224,33.8876
164,33.1414,38.6063
165,15.1393,37.1036
166,40.8001,32.1339
167,41.0652,25.9232
168,136.218,24.3847
169,175.119,22.3873
170,115.123,16.1304
171,16.9828,10.4252
172,-31.6127,-5.39252
173,-15.2501,-3.26341
174,22.9779,1.87034
175,55.4963,1.89599
176,-28.081,-3.96658
177,-66.9244,-8.00193
178,-48.4333,-8.67433
179,-6.67504,-7.5924
180,20.45,-7.35926
181,71.2284,-7.42848
182,130.501,-7.43029
183,94.8606,-7.14829
184,3.08683,-5.92592
185,-84.2556,-3.49636
186,-83.413,0.365757
187,10.2948,1.44906
188,96.2705,-3.00548
189,49.9819,-8.1227
190,1.01858,-8.59875
191,-299.372,-7.61102
192,10.9694,6.64725
193,87.425,6.49524
194,23.4908,3.97498
195,-61.7551,4.08238
196,-108.788,7.17013
197,-80.3723,11.7402
198,-26.7948,13.7876
199,-2.01215,13.275
200,19.0655,12.0894
201,71.1922,11.1361
202,136.141,8.33405
203,119.308,2.0057
204,51.6782,-5.19646
205,-7.01335,-10.2251
206,-61.747,-13.2232
207,-78.796,-13.6027
208,-6.07387,-12.9874
209,40.4609,-12.7337
210,20.7732,-12.3182
211,-14.2067,-11.1046
212,7.92931,-5.71183
213,37.0198,2.3692
214,25.6387,7.54156
215,0,8.41853
216,-17.3865,5.51019
217,-39.4248,-0.745183
218,-37.0459,-4.75724
219,-25.7251,-5.09184
220,0,-4.62942
221,15.1512,-6.38224
222,9.57383,-6.19734
223,-24.7351,-4.25144
224,-48.8949,-3.38419
225,-66.9759,-2.66566
226,-69.3364,5.64231
227,-66.4896,16.9572
228,-1.00091,20.2817
229,48.7712,13.3606
230,45.0456,6.89088
231,93.6488,4.48726
232,169.55,-2.20873
