count,ms_speed_left_model
1089,39.1512
1090,16.6713
1091,6.24847
1092,-21.4214
1093,-65.9174
1094,-49.3545
1095,9.85307
1096,-10.3407
1097,-67.3729
1098,-87.8599
1099,-19.3506
1100,74.176
1101,42.1452
1102,-8.64204
1103,52.5333
1104,135.899
1105,101.261
1106,-1.01717
1107,-67.6206
1108,-80.2784
1109,-56.5274
1110,-1.01393
1111,134.481
1112,44.1935
1113,-47.2934
1114,-117.62
1115,-51.8821
1116,17.2236
1117,6.81458
1118,-21.9288
1119,8.43168
1120,49.5896
1121,72.0186
1122,69.4981
1123,46.0477
1124,-30.406
1125,-67.4196
1126,-41.4171
1127,-6.93779
1128,-23.9756
1129,-49.1237
1130,-6.30395
1131,47.8292
1132,64.9375
1133,-8.8896
1134,-86.205
1135,-43.334
1136,115.398
1137,115.651
1138,-36.8423
1139,-126.687
1140,-41.2647
1141,8.81175
1142,-14.6805
1143,-24.321
1144,-6.99739
1145,34.7937
1146,76.6404
1147,64.357
1148,24.2674
1149,-19.0171
1150,-30.8274
1151,-34.3607
1152,-49.2364
1153,-7.23538
1154,35.8335
1155,35.6597
1156,-10.5847
1157,-3.95762
1158,-6.06465
1159,-7.09366
1160,-5.6062
1161,-1.01463
1162,-36.7243
1163,-78.2807
1164,-50.5391
1165,-9.5284
1166,-17.6678
1167,-23.576
1168,26.6406
1169,97.1761
1170,66.6969
1171,-43.0843
1172,-133.078
1173,-112.664
1174,-43.44
1175,0.497231
1176,69.302
1177,71.8566
1178,-9.77187
1179,-96.5981
1180,-72.001
1181,20.0666
1182,-31.9027
1183,-189.685
1184,-239.626
1185,-60.7611
1186,144.475
1187,162.382
1188,81.2601
1189,-1.46575
1190,53.1341
1191,198.893
1192,187.396
1193,14.2313
1194,-101.677
1195,-72.5732
1196,27.317
1197,42.9064
1198,34.4639
1199,-17.4346
1200,-135.946
1201,-201.183
1202,-92.7017
1203,102.019
1204,110.873
1205,31.1657
1206,-19.2018
1207,0.496942
1208,47.6865
1209,47.2372
1210,1.00325
1211,-29.2143
1212,-1.0015
1213,28.7629
1214,1.00334
1215,-77.4336
1216,-80.2699
1217,9.27944
1218,119.355
1219,145.57
1220,134.601
1221,31.0874
1222,-106.416
1223,-149.486
1224,-93.6949
1225,-93.6114
1226,-105.103
1227,-69.1433
1228,80.6676
1229,214.838
1230,214.779
1231,73.8166
1232,-32.6419
1233,-101.573
1234,-183.445
1235,-175.542
1236,-10.0366
1237,64.0442
1238,52.2634
1239,59.2917
1240,-0.997859
1241,57.0796
1242,1.00035
1243,45.4881
1244,81.1797
1245,17.4103
1246,-70.672
1247,-54.4851
1248,35.7665
1249,63.6984
1250,-8.31747
1251,-0.50436
1252,35.004
1253,-61.6543
1254,-131.351
1255,-57.9192
1256,28.5549
1257,-0.497105
1258,-30.4971
1259,50.2264
1260,87.6366
1261,17.9496
1262,-46.9393
1263,-107.232
1264,-102.75
1265,-25.3158
1266,23.8664
1267,21.0204
1268,40.6464
1269,72.4734
1270,75.9597
1271,39.0241
1272,-29.264
1273,-18.9691
1274,48.1182
1275,17.8915
1276,-103.545
1277,-142.951
1278,-54.9731
1279,86.7102
1280,61.4644
1281,-9.57749
1282,-22.2929
1283,-29.1114
1284,-74.4508
1285,-90.2158
1286,-0.966185
1287,132.52
1288,144.034
1289,-20.0705
1290,-133.264
1291,-45.2373
1292,85.2393
1293,93.2587
1294,58.4891
1295,-28.7386
1296,-68.6265
1297,-12.0498
1298,41.7462
1299,9.37882
1300,-49.5169
1301,-116.854
1302,-139.943
1303,48.5797
1304,0.483172
1305,359.964
1306,54.9504
1307,-17.4166
1308,-55.591
1309,-35.7092
1310,8.02598
1311,-9.9751
1312,0.502472
1313,87.0918
1314,119.138
1315,-15.4636
1316,-143.802
1317,-85.0576
1318,75.3822
1319,117.506
1320,59.4245
1321,-24.9501
1322,-67.5963
1323,-84.5272
1324,-104.955
1325,-136.252
1326,-78.3201
1327,77.6271
1328,156.455
1329,96.1149
1330,-20.1477
1331,-56.2794
1332,-69.1648
1333,-63.2848
1334,-0.492572
1335,73.5087
1336,67.944
1337,9.63787
1338,-87.9789
1339,-95.045
1340,85.2682
1341,145.953
1342,46.5373
1343,-75.7309
1344,-65.3637
1345,6.37596
1346,59.5053
1347,55.3648
1348,27.295
1349,-64.8985
1350,-166.045
1351,-167.807
1352,1.92715
1353,112.083
1354,93.9412
1355,0.992529
1356,-74.4691
1357,-21.0338
1358,53.2461
1359,61.0105
1360,-0.496163
1361,-38.7025
1362,-64.7376
1363,-65.6034
1364,-22.3406
1365,109.891
1366,170.85
1367,136.816
1368,77.6612
1369,-11.3937
1370,-93.5899
1371,-121.177
1372,-97.4812
1373,-83.2521
1374,-24.6571
1375,87.1856
1376,82.0199
1377,-10.2983
1378,-82.3264
1379,-117.27
1380,-155.404
1381,-27.2428
1382,111.937
1383,133.931
1384,45.3749
1385,-33.7076
1386,-43.459
1387,13.3745
1388,62.8497
1389,81.1111
1390,69.1338
1391,0
1392,-67.4252
1393,-30.9661
1394,38.3188
