Count,OriginalData,MovingAverage
1,73.2474,1.71691
2,103.408,0.666598
3,-34.3668,-1.17697
4,-154.726,0.14886
5,-119.121,3.7783
6,-1.46091,6.00675
7,101.595,4.8165
8,134.422,2.2517
9,65.1125,1.83957
10,-18.9733,3.12204
11,-118.337,2.94912
12,-95.9072,1.98477
13,0,0.803703
14,-33.8607,-0.0479821
15,-115.787,2.42227
16,-39.9295,8.31692
17,156.647,12.599
18,148.315,10.3747
19,21.6553,7.58242
20,7.98219,7.21353
21,68.661,5.72301
22,0.502058,0.701514
23,48.4086,-2.26184
24,62.0285,-5.27749
25,43.985,-9.83903
26,-79.5203,-14.2834
27,-173.568,-10.4397
28,-72.7635,0.187115
29,30.6335,6.10638
30,71.7519,3.92698
31,104.768,-2.61712
32,55.919,-8.32679
33,-62.7347,-8.58021
34,-119.456,-4.03257
35,-8.60874,0.755773
36,107.76,0.933441
37,83.1086,-2.73253
38,-36.3881,-5.85299
39,-86.4582,-5.20432
40,-49.2671,-2.50876
41,31.2348,-0.787872
42,29.6652,-2.05795
43,18.6665,-2.30984
44,-9.54854,-0.305584
45,-29.9828,0.633013
46,-49.0711,-1.30644
47,-0.996983,-2.65162
48,117.937,-2.13908
49,116.411,-2.19203
50,-25.8898,-3.21124
51,-156.911,-3.05
52,-143.15,-1.28056
53,-34.0674,0.705559
54,64.9493,1.33075
55,119.999,0.94504
56,131.354,0.428506
57,67.6762,-2.35396
58,36.6222,-7.53019
59,6.90005,-14.2667
60,-51.6386,-18.4587
61,-132.199,-17.0983
62,-118.032,-8.65028
63,-72.2176,0.993649
64,-120.433,5.39751
65,-133.789,4.28781
66,74.2285,1.85374
67,251.503,-0.0140071
68,164.007,-2.88308
69,-56.5424,-4.90868
70,-190.012,-3.21436
71,-123.619,1.52353
72,45.7823,4.12493
73,119.171,2.64654
74,72.0776,-0.283226
75,-1.50203,-3.38509
76,-38.8788,-6.16384
77,-41.7098,-5.78552
78,-10.4415,-0.812098
79,21.3644,4.21966
80,19.5684,3.66051
81,-19.5684,1.00923
82,19.5898,-0.291664
83,98.8366,1.95039
84,27.9953,2.7206
85,-107.561,2.23114
86,-102.878,2.90581
87,19.5043,2.05608
88,115.819,-3.6182
89,75.6429,-9.61995
90,-19.4404,-8.70819
91,-86.1335,-3.75296
92,-63.7051,-1.07879
93,-9.05984,-1.07016
94,49.521,-0.831346
95,99.3376,1.00698
96,20.0554,0.955444
97,-139.373,0.649147
98,-232.837,2.99194
99,-160.78,8.56127
100,2.77522,13.0715
101,205.723,13.462
102,267.725,8.07059
103,103.937,2.07986
104,-164.821,0.626684
105,-231.152,5.44451
106,-0.481395,10.9877
107,136.74,8.72878
108,82.9832,0.510055
109,11.2303,-6.12705
110,-0.496246,-6.69274
111,-19.563,-3.51541
112,-13.3533,1.26487
113,1.98024,3.95635
114,-51.9971,5.31736
115,-112.652,8.39552
116,-23.7458,11.8352
117,157.227,10.2547
118,190.829,2.26778
119,-1.00196,-5.34207
120,-86.4826,-5.32934
121,-71.6042,-2.58292
122,109.272,-2.16149
123,129.645,-6.31617
124,8.4167,-9.54514
125,-80.5741,-8.92702
126,-136.867,-6.53419
127,-207.467,-2.09251
128,-124.251,4.12079
129,112.113,10.6325
130,178.769,12.2077
131,20.8332,10.6165
132,-63.3596,10.5203
133,0.492589,11.3139
134,123.054,10.9204
135,97.2761,8.41846
136,7.80354,7.37397
137,-45.6611,6.47686
138,-10.0638,5.94527
139,19.6297,4.98603
140,18.3937,4.32842
141,-9.93256,4.37982
142,28.0959,6.40885
143,45.8099,8.96898
144,27.8922,10.1952
145,-9.42401,9.57511
146,-90.8387,7.70432
147,-192.009,7.88996
148,-182.501,12.9476
149,-11.3973,19.9168
150,126.597,21.4513
151,171.648,18.3119
152,94.3062,6.53636
153,56.4207,4.45294
154,71.1289,5.22805
155,24.936,4.0371
156,-86.9672,1.86982
157,-162.249,1.3243
158,-113.565,3.37122
159,-0.492862,5.54047
160,23.3745,5.50249
161,-54.7473,5.39477
162,-56.9151,8.54325
163,0.486224,13.3697
164,33.1414,16.3402
165,15.1393,16.8036
166,40.8001,16.2498
167,41.0652,13.6861
168,136.218,10.6896
169,175.119,7.1323
170,115.123,3.76585
171,16.9828,1.4071
172,-31.6127,0.627366
173,-15.2501,1.61592
174,22.9779,2.92266
175,55.4963,2.98918
176,-28.081,1.60177
177,-66.9244,1.86914
178,-48.4333,2.55663
179,-6.67504,2.84131
180,20.45,2.36506
181,71.2284,1.85381
182,130.501,0.451881
183,94.8606,-2.5713
184,3.08683,-5.56119
185,-84.2556,-6.86074
186,-83.413,-6.42874
187,10.2948,-6.07683
188,96.2705,-7.99644
189,49.9819,-10.4282
190,1.01858,-10.4585
191,-299.372,-9.35781
192,10.9694,0.467706
193,87.425,4.43222
194,23.4908,5.75827
195,-61.7551,6.25045
196,-108.788,6.34016
197,-80.3723,5.49751
198,-26.7948,4.51517
199,-2.01215,4.09159
200,19.0655,3.72998
201,71.1922,2.37693
202,136.141,1.06836
203,119.308,-1.12287
204,51.6782,-4.29032
205,-7.01335,-6.44538
206,-61.747,-3.79046
207,-78.796,1.67724
208,-6.07387,3.64714
209,40.4609,0.313433
210,20.7732,-2.71367
211,-14.2067,-3.30867
212,7.92931,-3.96028
213,37.0198,-5.95063
214,25.6387,-7.34038
215,0,-8.43778
216,-17.3865,-8.37513
217,-39.4248,-6.18081
218,-37.0459,-3.19874
219,-25.7251,-0.420071
220,0,1.57923
221,15.1512,0.161656
222,9.57383,-3.96225
223,-24.7351,-6.50896
224,-48.8949,-4.49742
225,-66.9759,-0.228668
226,-69.3364,3.9428
227,-66.4896,6.50387
228,-1.00091,7.26666
229,48.7712,5.6453
230,45.0456,3.76872
231,93.6488,3.48987
232,169.55,2.48704
233,140.467,-2.50272
234,43.178,-7.77155
235,-58.1667,-8.87633
236,-142.494,-5.98306
237,-119.666,-2.62929
238,-43.7379,-2.12825
239,-16.4766,-4.51505
240,-35.0565,-6.5433
241,18.8492,-6.73745
242,48.4919,-7.76703
243,-7.39004,-8.99166
244,-34.5243,-9.18777
245,99.1835,-9.13361
246,156.961,-11.9532
247,0,-13.4379
248,-139.422,-11.7377
249,-80.6233,-11.1808
250,-3.02679,-14.9893
251,-40.2711,-17.025
252,-71.6848,-11.8693
253,-18.5701,-5.69304
254,-18.2572,-2.48499
255,2.50614,-0.408976
256,70.3863,-0.00696321
257,79.8577,-2.73803
258,74.101,-6.97951
259,54.2468,-11.6598
260,-56.7028,-16.1964
261,-149.805,-15.9356
262,-92.2945,-9.56866
263,55.7266,-2.76209
264,121.855,-1.69594
265,99.8828,-5.72981
266,33.1065,-10.1614
267,-35.9779,-11.255
268,-65.8555,-9.35036
269,-26.2919,-6.50979
270,33.8915,-4.6564
271,53.5356,-4.15111
272,-30.0402,-3.7449
273,-70.2864,-1.91188
274,-1.01332,-0.793452
275,57.5642,-2.32372
276,-8.34303,-4.40961
277,-99.6244,-4.43981
278,-139.21,-3.11302
279,-97.6065,-1.55383
280,-42.8227,-0.904643
281,-22.3339,-0.054227
282,-0.493304,0.466986
283,-15.2345,3.99929
284,-32.3578,3.86762
285,-13.6,3.9785
286,97.5729,4.80287
287,68.0083,3.8052
288,-117.146,2.52892
289,-232.964,4.53468
290,-84.4561,8.66168
291,165.96,9.52067
292,175.364,6.36161
293,109.752,3.94114
294,64.7834,1.66425
295,18.5866,-0.892249
296,-38.8565,-2.56174
297,-89.8012,-2.10889
298,-113.109,0.420628
299,-127.217,3.19857
300,-46.272,4.09571
301,104.872,2.22081
302,179.968,-2.44983
303,98.3729,-7.57519
304,-39.4999,-11.3245
305,-77.3809,-12.9907
306,-10.6377,-11.7908
307,40.2079,-8.76259
308,47.7673,-8.16161
309,47.8438,-8.41968
310,54.1031,-8.12789
311,69.7838,-7.25826
312,43.2807,-5.86613
313,-25.5493,-4.0768
314,-62.2243,-3.91806
315,-25.871,-4.02782
316,-9.55137,-2.62884
317,-46.5524,-0.538182
318,-76.8425,-0.311716
319,-71.6391,-1.80858
320,-8.80606,-1.068
321,-1.48536,0.977887
322,140.799,1.99346
323,-20.5016,-2.0058
324,-27.9225,-1.76691
325,19.3751,-0.561523
326,57.6659,-1.52936
327,16.957,-3.7382
328,-36.9154,-2.18984
329,-67.8841,1.8017
330,-50.0965,2.08986
331,39.5974,-1.60478
332,78.5453,-6.53421
333,18.6765,-11.5561
334,-37.4766,-16.3001
335,-48.1931,-14.2068
336,-20.7424,-6.47767
337,11.3795,-1.84961
338,-1.99135,-1.08406
339,-91.3315,-0.55715
340,-121.268,1.7385
341,-81.9534,5.49986
342,-25.0463,8.5286
343,-51.5997,8.18808
344,-106.147,6.9501
345,-29.3842,8.25587
346,110.489,9.56676
347,64.2472,3.93866
348,37.4444,0.576591
349,59.5157,1.42778
350,88.888,2.44374
351,125.469,0.793419
352,114.854,-2.10326
353,-19.1995,-4.21956
354,-66.6149,-2.95851
355,30.0881,-0.753893
356,74.0751,-1.51855
357,-37.4937,-3.34555
358,-136.717,-2.70817
359,-42.0161,0.470699
360,73.0295,1.3049
361,39.1375,-1.08422
362,-19.1714,-2.55826
363,-10.9458,-1.07006
364,20.2928,2.34161
365,-19.3384,3.50815
366,-30.6875,2.65091
367,78.8913,0.474373
368,122.746,-4.09668
369,-56.3576,-8.268
370,-197.882,-6.04457
371,-157.58,0.24713
372,-122.33,4.6701
373,-171.084,7.50659
374,46.2558,13.288
375,260.972,15.9074
376,164.38,10.9314
377,42.0015,4.84306
378,19.0851,0.664071
379,0.494553,-2.07149
380,29.1862,-3.68865
381,39.1964,-5.54048
382,-38.6671,-7.3875
383,-101.119,-4.99864
384,-53.9161,1.75399
385,23.0512,5.54369
386,-114.635,4.97996
387,-70.2355,9.18163
388,71.4921,13.8129
389,100.154,13.2811
390,22.8752,9.09266
391,9.60167,5.39581
392,30.2024,2.27444
393,31.2425,-0.780159
394,21.5696,-3.42856
395,-0.498064,-2.34961
396,0.995117,1.93771
397,-11.9985,3.97987
398,-9.56235,3.09633
399,-8.64796,2.67223
400,-22.5355,2.65206
401,-19.824,1.50369
402,40.3566,1.2111
403,125.521,2.88511
404,66.9542,3.61903
405,-53.6278,3.59883
406,-117.749,4.58654
407,-103.951,5.95697
408,-44.1065,6.60616
409,32.5795,5.1259
410,53.786,1.79046
411,19.3389,-0.312207
412,-8.87068,0.499372
413,60.173,3.42294
414,151.033,2.84453
415,61.9316,-1.64552
416,-79.1549,-3.4305
417,-125.158,-0.954951
418,-90.3374,3.77318
419,-64.1918,7.19475
420,-44.8871,8.96856
421,-34.6842,9.44146
422,56.8872,8.20905
423,168.986,4.88876
424,97.6721,0.689065
425,0.502016,-0.57313
426,53.4318,-1.76745
427,115.016,-5.34827
428,50.2209,-8.24842
429,-67.3851,-7.27757
430,-124.999,-5.08186
431,-115.253,-4.17098
432,-91.9815,-3.43525
433,-74.6935,0.222257
434,64.7275,4.90007
435,170.995,4.62913
436,82.6814,1.75998
437,-47.3401,1.10796
438,-26.5263,2.79534
439,-9.45485,3.61917
440,-68.4702,3.41313
441,-31.5278,5.0743
442,107.317,6.63995
443,154.878,6.82768
444,66.146,5.69682
445,-14.1194,3.39574
446,-62.9319,-0.205553
447,-77.9832,0.232002
448,-103.317,5.31393
449,-100.838,10.5661
450,-30.3208,13.4502
451,51.8021,12.636
452,108.072,9.98447
453,37.0366,7.82301
454,-28.5688,9.38311
455,-9.46764,11.2969
456,19.8669,10.2562
457,63.9673,6.81547
458,46.5256,3.74495
459,6.76037,3.85534
460,-25.9711,4.81105
461,-83.9804,4.34721
462,-75.9247,5.1486
463,0.998278,6.61915
464,47.1843,6.27618
465,-47.2706,5.08392
466,-89.8011,5.85529
467,-0.989864,7.05108
468,89.0547,6.20787
469,20.4433,4.20279
470,-88.5637,3.91201
471,-85.8238,6.10087
472,54.3187,8.02608
473,112.419,5.77407
474,53.8899,2.90067
475,56.2291,3.11694
476,56.6007,3.0359
477,20.155,2.30163
478,6.427,1.96782
479,-17.6967,0.719629
480,-2.02323,-0.349157
481,31.0981,-1.38703
482,114.826,-3.07652
483,109.644,-5.9346
484,-25.8975,-6.8579
485,-158.171,-3.24281
486,-45.4297,2.52794
487,125.294,1.84651
488,106.77,-4.96989
489,14.5253,-7.86466
490,-62.8901,-5.58042
491,-54.2576,-2.16007
492,21.6139,-1.02072
493,99.4406,-1.94768
494,47.9813,-4.64071
495,-51.0945,-5.19612
496,-117.762,-2.30811
497,-58.8536,0.808423
498,50.9414,-0.358112
499,44.9887,-5.50795
500,-44.5247,-7.80284
501,-51.9249,-3.7288
502,-17.1027,0.542695
503,-12.7205,1.94617
504,-0.506202,1.28723
505,-16.4157,0.643153
506,-41.9696,2.28362
507,-34.7182,5.52043
508,8.85172,6.97672
509,8.81197,5.61033
510,-1.00965,2.78995
511,-8.81508,0.915017
512,-35.762,0.238341
513,-2.51663,0.0446968
514,62.5405,-0.830382
515,52.9877,-2.11386
516,27.2298,-2.36947
517,6.80259,-1.46807
518,-43.5006,0.460717
519,-60.4481,2.95147
520,-43.5383,3.48075
521,-36.4813,2.8732
522,0.502554,3.5986
523,72.7121,4.42821
524,118.706,3.25721
525,72.659,0.48148
526,-72.6867,-1.96871
527,-147.362,-1.18556
528,-9.02086,2.29732
529,105.895,3.34237
530,73.9238,2.12549
531,-8.68355,1.46995
532,-15.4647,2.47252
533,-8.28044,3.64598
534,25.765,2.87138
535,64.4256,-0.636542
536,6.8995,-3.50988
537,-105.515,-1.78623
538,-155.052,3.08017
539,-46.8072,7.89816
540,118.437,9.09378
541,118.935,5.92777
542,39.0363,1.77317
543,-39.078,-1.2075
544,-26.2694,-2.07142
545,49.203,-1.47792
546,87.5029,-1.21733
547,23.5332,-3.41758
548,-45.8039,-9.04531
549,-104.003,-6.97913
550,-76.0071,-1.46951
551,-35.8821,2.07006
552,-43.5078,4.1829
553,-37.5198,6.67057
554,11.2014,7.01957
555,42.7634,3.25873
556,63.2857,-0.892227
557,83.9541,-2.94573
558,56.1294,-5.03202
559,-39.2766,-6.9108
560,-67.8405,-3.88202
561,-7.46534,1.57762
562,33.6869,5.7571
563,25.8723,7.29316
564,7.6767,6.64636
565,-25.3484,4.03774
566,-41.3611,2.7522
567,-8.04642,3.62826
568,32.7808,3.65854
569,57.22,1.0034
570,47.702,-2.73161
571,31.4195,-4.81103
572,31.4735,-4.4864
573,-39.2642,-2.99669
574,-114.552,0.18833
575,-50.5079,4.0047
576,75.8456,5.25467
577,89.141,1.7928
578,37.6675,-2.43751
579,1.01756,-3.55967
580,-8.2033,-2.22256
581,-47.249,-1.03757
582,-80.1905,0.520734
583,-73.6349,1.73755
584,-2.52938,1.33583
585,59.6265,-0.471372
586,-0.506948,-1.5559
587,-201.576,-0.261429
588,36.8431,5.80839
589,116.382,4.91263
590,65.5758,-0.0853304
591,48.6314,-4.32658
592,55.9989,-6.01149
593,-23.5599,-5.40881
594,-139.232,-2.65753
595,-123.275,1.86573
596,-18.8543,4.12239
597,0.50226,2.98821
598,-19.0215,3.0136
599,81.8744,5.86132
600,150.545,6.30802
601,159.714,4.2821
602,95.1295,0.416438
603,0,-4.78078
604,-96.6678,-8.43913
605,-76.7701,-7.5306
606,-6.31873,-6.19159
607,-6.83526,-6.67509
608,-73.4249,-6.01695
609,-92.1803,-2.57711
610,-35.4749,0.558313
611,44.405,0.801904
612,91.0617,-1.43677
613,88.1366,-3.7385
614,38.1027,-6.24451
615,-0.509046,-7.17191
616,-62.6292,-14.4938
617,-80.0714,-15.4924
618,-7.21869,-10.4912
619,54.5017,-7.23713
620,39.1963,-10.2332
621,15.0833,-15.2911
622,-31.518,-16.3409
623,-89.7037,-13.3067
624,-74.8174,-10.8746
625,16.2455,-9.01642
626,51.2718,-6.07774
627,41.2169,-3.84421
628,1.01276,-3.07427
629,-83.5366,-2.47392
630,-104.074,-1.66142
631,-18.7653,-3.56472
632,80.1063,-6.46456
633,86.4912,-7.68905
634,41.6984,-8.5739
635,-33.0085,-10.0598
636,-64.2216,-10.0727
637,1.51787,-10.6457
638,94.8874,-12.4211
639,99.7425,-13.6341
640,69.5082,-13.3697
641,5.08728,-13.8025
642,-112.759,-15.246
643,-146.334,-15.4736
644,-60.3268,-12.1191
645,-23.2096,-8.05361
646,-25.659,-6.4388
647,19.4905,-6.85467
648,64.1688,-8.44117
649,33.2366,-8.92663
650,-25.7313,-7.17072
651,-45.1419,-4.0447
652,-1.00749,-1.48902
653,-12.1037,-2.40406
654,1.00643,-3.53406
655,-293.385,-2.62296
656,-102.571,5.39249
657,119.974,4.30444
658,122.945,-3.63154
659,-65.3426,-7.31278
660,-163.12,-3.93747
661,-26.9058,0.15269
662,89.8489,-0.0650404
663,7.58078,-2.25073
664,-0.490951,-2.80652
665,133.793,-2.43985
