Count,OriginalData,ExponentialMovingAverage
1,73.247398,
2,103.407997,
3,-34.366798,
4,-154.725998,
5,-119.121002,
6,-1.460910,
7,101.595001,
8,134.421997,
9,65.112503,
10,-18.973301,30.492189
11,-118.336998,7.486846
12,-95.907204,-29.833225
13,0.000000,-40.588966
14,-33.860699,-34.579239
15,-115.787003,-33.527168
16,-39.929501,-20.837358
17,156.647003,15.845482
18,148.315002,30.613529
19,21.655300,17.681053
20,7.982190,2.560100
21,68.661003,17.593697
22,0.502058,27.378990
23,48.408600,26.650640
24,62.028500,22.069574
25,43.985001,36.251766
26,-79.520302,41.628204
27,-173.567993,1.381545
28,-72.763496,-29.126312
29,30.633499,-20.098978
30,71.751900,4.758272
31,104.767998,13.779209
32,55.918999,27.881096
33,-62.734699,13.236427
34,-119.456001,-13.315066
35,-8.608740,-29.062265
36,107.760002,-16.828379
37,83.108597,14.893190
38,-36.388100,19.469042
39,-86.458199,5.737118
40,-49.267101,0.174724
41,31.234800,-0.744789
42,29.665199,-11.166392
43,18.666500,-13.367312
44,-9.548540,2.228278
45,-29.982800,12.015243
46,-49.071098,-2.405270
47,-0.996983,-18.213232
48,117.936996,-0.189603
49,116.411003,26.010132
50,-25.889799,27.395700
51,-156.910995,-6.325609
52,-143.149994,-32.681332
53,-34.067402,-36.726311
54,64.949303,-20.986826
55,119.999001,2.080909
56,131.354004,32.047741
57,67.676201,54.514011
58,36.622200,51.055817
59,6.900050,23.897909
60,-51.638599,-7.449264
61,-132.199005,-28.281134
62,-118.031998,-29.935432
63,-72.217598,-24.312222
64,-120.432999,-34.388363
65,-133.789001,-50.934742
66,74.228500,-36.738041
67,251.503006,11.494814
68,164.007004,35.228733
69,-56.542400,10.673687
70,-190.011993,-36.644402
71,-123.619003,-50.553490
72,45.782299,-26.879030
73,119.170998,-6.806109
74,72.077599,5.740929
75,-1.502030,32.387951
76,-38.878799,43.261486
77,-41.709801,16.050016
78,-10.441500,-18.415218
79,21.364401,-29.124960
80,19.568399,-11.346373
81,-19.568399,9.931438
82,19.589800,21.553190
83,98.836601,29.273928
84,27.995300,19.150091
85,-107.560997,-8.912870
86,-102.877998,-26.378012
87,19.504299,-13.832357
88,115.819000,14.016305
89,75.642899,24.979702
90,-19.440399,11.642136
91,-86.133499,-0.871191
92,-63.705101,-1.642341
93,-9.059840,-12.514218
94,49.521000,-19.458006
95,99.337601,2.770734
96,20.055401,22.365330
97,-139.373001,5.906007
98,-232.837006,-42.902714
99,-160.779999,-77.117050
100,2.775220,-71.556786
101,205.723007,-18.127211
102,267.725006,41.191914
103,103.936996,60.475174
104,-164.820999,26.209106
105,-231.151993,-31.241774
106,-0.481395,-47.081039
107,136.740005,-26.223457
108,82.983200,3.318968
109,11.230300,26.744223
110,-0.496246,49.073811
111,-19.563000,44.929359
112,-13.353300,12.314386
113,1.980240,-25.693855
114,-51.997101,-39.393185
115,-112.652000,-21.703773
116,-23.745800,-3.628289
117,157.227005,18.391565
118,190.828995,40.098038
119,-1.001960,31.048904
120,-86.482597,7.116385
121,-71.604202,-6.361676
122,109.272003,16.723928
123,129.645004,29.998823
124,8.416700,17.920925
125,-80.574097,11.964454
126,-136.867004,9.232483
127,-207.466995,-25.650290
128,-124.250999,-69.365646
129,112.112999,-47.860748
130,178.768997,-4.655226
131,20.833200,24.294336
132,-63.359600,11.096013
133,0.492589,-7.128680
134,123.054001,4.577808
135,97.276100,13.864551
136,7.803540,3.271748
137,-45.661098,5.561647
138,-10.063800,34.495220
139,19.629700,40.753002
140,18.393700,15.456268
141,-9.932560,-0.477974
142,28.095900,13.300965
143,45.809898,35.687687
144,27.892200,30.804989
145,-9.424010,11.462771
146,-90.838699,-14.324781
147,-192.009003,-41.845634
148,-182.501007,-63.427624
149,-11.397300,-54.133720
150,126.597000,-25.081511
151,171.647995,15.799682
152,94.306198,32.454899
153,56.420700,34.403629
154,71.128899,36.064510
155,24.936001,23.096516
156,-86.967201,-10.515460
157,-162.248993,-36.825207
158,-113.565002,-27.776318
159,-0.492862,-4.265030
