Count,OriginalData,MovingAverage
254,-18.2572,-0.961448
255,2.50614,-1.3863
256,70.3863,-2.98404
257,79.8577,-4.60452
258,74.101,-5.39752
259,54.2468,-5.92419
260,-56.7028,-6.05225
261,-149.805,-3.83613
262,-92.2945,0.555641
263,55.7266,3.26715
264,121.855,1.64163
265,99.8828,-2.03996
266,33.1065,-4.55503
267,-35.9779,-5.40819
268,-65.8555,-5.61968
269,-26.2919,-5.83942
270,33.8915,-6.74636
271,53.5356,-7.60032
272,-30.0402,-8.70074
273,-70.2864,-5.28395
274,-1.01332,-4.28826
275,57.5642,-4.82644
276,-8.34303,-5.59022
277,-99.6244,-4.27004
278,-139.21,-1.93842
279,-97.6065,0.107477
280,-42.8227,0.701925
281,-22.3339,0.556449
282,-0.493304,1.79507
283,-15.2345,3.37585
284,-32.3578,4.05407
285,-13.6,3.95169
286,97.5729,3.25983
287,68.0083,0.893523
288,-117.146,-0.239054
289,-232.964,2.06404
290,-84.4561,4.89669
291,165.96,4.16045
292,175.364,-0.797816
293,109.752,-4.80602
294,64.7834,-8.03306
295,18.5866,-11.4517
296,-38.8565,-12.4111
297,-89.8012,-9.42417
298,-113.109,-6.3432
299,-127.217,-3.33213
300,-46.272,0.402519
301,104.872,3.10572
302,179.968,3.51766
303,98.3729,2.21538
304,-39.4999,-0.13607
305,-77.3809,-0.678369
306,-10.6377,1.47101
307,40.2079,3.16527
308,47.7673,1.61123
309,47.8438,-2.07845
310,54.1031,-3.87565
311,69.7838,-3.49712
312,43.2807,-4.11005
313,-25.5493,-5.35909
314,-62.2243,-5.06702
315,-25.871,-3.41668
316,-9.55137,-3.28603
317,-46.5524,-3.70875
318,-76.8425,-1.19987
319,-71.6391,2.7919
320,-8.80606,3.09753
321,-1.48536,-0.683993
322,140.799,-3.80588
323,-20.5016,-9.06847
324,-27.9225,-12.0801
325,19.3751,-10.5965
326,57.6659,-5.76461
327,16.957,-3.63033
328,-36.9154,-3.12944
329,-67.8841,-2.00943
330,-50.0965,-0.641854
331,39.5974,0.943799
332,78.5453,0.93578
333,18.6765,-1.40847
334,-37.4766,-3.80438
335,-48.1931,-4.13317
336,-20.7424,-2.70828
337,11.3795,-4.58613
338,-1.99135,-6.21843
339,-91.3315,-4.74877
340,-121.268,-0.919056
341,-81.9534,1.96381
342,-25.0463,3.79491
343,-51.5997,4.89989
344,-106.147,6.55673
345,-29.3842,9.11106
346,110.489,9.68878
347,64.2472,7.49891
348,37.4444,5.97399
349,59.5157,5.03386
350,88.888,3.67058
351,125.469,1.44211
352,114.854,-1.46375
353,-19.1995,-2.9537
354,-66.6149,-0.0592851
355,30.0881,2.6121
356,74.0751,0.937779
357,-37.4937,-2.8987
358,-136.717,-4.22785
359,-42.0161,-2.37564
360,73.0295,-0.883728
361,39.1375,-1.2686
362,-19.1714,-1.66457
363,-10.9458,-1.45855
364,20.2928,-0.0361787
365,-19.3384,2.57863
366,-30.6875,4.20403
367,78.8913,3.23468
368,122.746,-0.846309
369,-56.3576,-5.10798
370,-197.882,-5.26466
371,-157.58,-2.20476
372,-122.33,0.253152
373,-171.084,3.8375
374,46.2558,10.6389
375,260.972,11.6672
376,164.38,6.45782
377,42.0015,4.23886
378,19.0851,5.69915
379,0.494553,6.32187
380,29.1862,4.96427
381,39.1964,1.88057
382,-38.6671,-1.20842
383,-101.119,-2.27471
384,-53.9161,-1.7462
385,23.0512,0.626675
386,-114.635,3.58555
387,-70.2355,7.53188
388,71.4921,7.98979
389,100.154,6.02942
390,22.8752,3.83724
391,9.60167,2.01033
392,30.2024,1.18774
393,31.2425,2.73004
394,21.5696,5.20275
395,-0.498064,6.09427
396,0.995117,5.82185
397,-11.9985,4.54331
398,-9.56235,3.22361
399,-8.64796,1.34852
400,-22.5355,-0.49528
401,-19.824,-0.650987
402,40.3566,0.781536
403,125.521,2.13584
404,66.9542,0.366156
405,-53.6278,-1.5443
406,-117.749,-0.661101
407,-103.951,2.09122
408,-44.1065,5.44958
409,32.5795,7.26222
410,53.786,6.74584
411,19.3389,5.1507
412,-8.87068,3.08431
413,60.173,1.74323
414,151.033,0.559739
415,61.9316,-1.51723
416,-79.1549,-3.70128
417,-125.158,-3.9142
418,-90.3374,-1.43084
419,-64.1918,2.157
420,-44.8871,3.8497
421,-34.6842,2.97617
422,56.8872,1.95338
423,168.986,1.90201
424,97.6721,0.770671
