count,tension_left,ms_left,ms_left_model,ms_speed_left,ms_speed_left_model,pressure_left,g_pressure_1,tension_right,ms_right,ms_right_model,ms_speed_right,ms_speed_right_model,pressure_right,g_pressure_2,start of cycle,angle,m5_Ia_+,m5_Ia_model_+,m5_Ia_-,m5_Ia_model_-,m5_Ib_-,m5_Ib_+,m7_Ia_+,m7_Ia_model_+,m7_Ia_-,m7_Ia_model_-,m7_Ib_-,m7_Ib_+,4.88817,2.27281,2.83E+10,-17304.9,17176,16460
26,-9,-1.01874,7.95E+20,-3.42405,1.30E+22,0.471207,0.6,905,-0.232345,-9.68E+15,-0.695552,-4.42E+53,0.493561,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
27,3,-1.04257,8.76E+20,-3.97366,1.70E+22,0.477844,0.6,799,-0.232345,-1.18E+13,-0.657593,-2.55E+53,0.500198,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
28,13,-1.08725,1.23E+21,-4.14794,1.93E+22,0.485474,0.6,681,-0.235323,2.49E+14,-0.484475,-1.10E+53,0.506454,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
29,9,-1.14385,1.05E+21,-4.24041,1.92E+22,0.491272,0.6,572,-0.229366,-2.71E+10,-0.28223,-1.99E+52,0.511948,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
30,8,-1.17066,9.49E+20,-4.37458,1.32E+22,0.496536,0.6,487,-0.217451,2.43E+07,0.017395,2.25E+52,0.517288,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
31,21,-1.2213,1.92E+21,-4.32979,1.11E+22,0.502792,0.6,437,-0.202557,-396973,0.436327,3.40E+52,0.522781,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
32,37,-1.2213,2.20E+21,-4.00343,2.15E+22,0.507904,0.6,433,-0.208514,124044,0.731736,2.95E+52,0.527206,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
33,42,-1.25704,2.44E+21,-3.36893,3.19E+22,0.512024,0.6,467,-0.202557,1.34E+06,0.716585,1.97E+52,0.531326,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
34,32,-1.27492,2.98E+21,-2.79825,3.63E+22,0.51683,0.6,524,-0.202557,25147.3,0.557143,1.04E+52,0.535675,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
35,19,-1.25407,3.20E+21,-2.14779,3.88E+22,0.520721,0.6,593,-0.205536,10176.3,0.361024,3.69E+51,0.539032,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
36,18,-1.32258,3.60E+21,-1.59935,3.85E+22,0.52507,0.6,671,-0.205536,-508308,0.142666,-5.30E+49,0.542313,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
37,30,-1.32258,4.32E+21,-1.72053,3.97E+22,0.528275,0.6,745,-0.208514,-368831,-0.025974,-1.58E+51,0.545441,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
38,41,-1.34641,4.69E+21,-1.92577,4.44E+22,0.531479,0.6,807,-0.208514,593288,-0.128607,-1.79E+51,0.548035,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
39,42,-1.35237,5.14E+21,-1.8507,4.71E+22,0.534378,0.6,858,-0.208514,-4.12E+06,-0.156287,-1.39E+51,0.55101,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
40,32,-1.35832,5.78E+21,-1.60021,4.83E+22,0.537125,0.6,895,-0.208514,5.30E+06,-0.125543,-8.51E+50,0.552841,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
41,23,-1.38215,6.09E+21,-1.3449,4.94E+22,0.539719,0.6,915,-0.211493,50870.8,-0.0989593,-3.99E+50,0.554977,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
42,26,-1.42088,6.69E+21,-1.49581,4.90E+22,0.542007,0.6,912,-0.205536,364316,-0.0613317,-1.04E+50,0.556732,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
43,35,-1.40896,7.29E+21,-1.75328,4.97E+22,0.54422,0.6,884,-0.211493,3.38E+07,-0.00939038,4.53E+49,0.558411,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
44,35,-1.44769,7.77E+21,-1.74507,5.20E+22,0.546127,0.6,838,-0.214472,-2.16E+07,-0.0454108,9.49E+49,0.559937,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
45,23,-1.44471,7.98E+21,-1.6891,5.08E+22,0.548035,0.6,751,-0.217451,2.74E+09,-0.147798,8.98E+49,0.561691,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
46,21,-1.43577,8.25E+21,-1.36928,4.44E+22,0.549637,0.6,673,-0.22043,-2.28E+06,-0.230026,6.34E+49,0.562988,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
47,26,-1.42981,9.03E+21,-0.687621,4.00E+22,0.551163,0.6,593,-0.214472,-5.70E+06,-0.222146,3.54E+49,0.564209,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
