count,tension_left,ms_left,ms_left_model,ms_speed_left,ms_speed_left_model,pressure_left,g_pressure_1,tension_right,ms_right,ms_right_model,ms_speed_right,ms_speed_right_model,natural_length_right_model,deformation_right_model,natural_length_left_model,deformation_left_model,pressure_right,g_pressure_2,start of cycle,angle,m5_Ia_+,m5_Ia_model_+,m5_Ia_-,m5_Ia_model_-,m5_Ib_-,m5_Ib_+,m7_Ia_+,m7_Ia_model_+,m7_Ia_-,m7_Ia_model_-,m7_Ib_-,m7_Ib_+,4.79583,3.06516,170.209,178.606,33030,17270,75.3003
23,-261,-1.40896,149.426,-0.183337,2.79346,0.40094,0.4,17,-0.24426,150.29,-0.068727,0.55122,150.223,0.0667984,146.004,3.42253,0.402237,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
24,-262,-1.403,149.423,-0.180312,2.31769,0.401169,0.4,15,-0.24426,150.282,-0.0707806,0.970584,150.223,0.0589443,145.99,3.43303,0.402237,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
25,-262,-1.40598,149.428,-0.110491,1.5184,0.401093,0.4,10,-0.241281,150.257,-0.0324645,0.651011,150.217,0.0393036,145.994,3.43337,0.402313,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
26,-261,-1.403,149.416,-0.0319449,0.745835,0.401093,0.4,8,-0.247239,150.254,-0.00780657,-0.0629613,150.223,0.0314454,145.994,3.42186,0.402237,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
27,-261,-1.403,149.431,0.0290835,0.203411,0.400864,0.4,6,-0.24426,150.241,-0.0355235,-0.631605,150.217,0.0235859,146.008,3.42287,0.402313,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
28,-260,-1.40598,149.41,0.0464045,-0.0979228,0.401016,0.4,0,-0.24426,150.223,-0.0373636,-1.0132,150.223,3.69E-07,145.999,3.41068,0.402237,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
29,-258,-1.40598,149.391,0.000934605,-0.506076,0.40094,0.4,-4,-0.238302,150.196,0.0320503,-1.40946,150.212,-0.0157292,146.004,3.38796,0.40239,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
30,-258,-1.403,149.387,-0.0180881,-0.958804,0.401016,0.4,0,-0.24426,150.223,0.0920768,-1.4931,150.223,3.69E-07,145.999,3.38763,0.402237,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
31,-261,-1.40598,149.431,-0.0009876,-0.776581,0.400864,0.4,4,-0.24426,150.228,0.0518741,-0.912915,150.212,0.0157252,146.008,3.42287,0.40239,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
32,-263,-1.40598,149.444,-0.0136645,0.160829,0.401016,0.4,4,-0.24426,150.228,-0.0188163,-0.181823,150.212,0.0157252,145.999,3.4452,0.40239,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
33,-263,-1.41194,149.444,-0.0752512,0.980143,0.401016,0.4,4,-0.24426,150.238,-0.0429204,0.274682,150.223,0.0157253,145.999,3.4452,0.402237,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
34,-262,-1.41194,149.423,-0.1604,0.998839,0.401169,0.4,5,-0.24426,150.226,-0.0412897,0.45126,150.207,0.0196555,145.99,3.43303,0.402466,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
35,-263,-1.41492,149.439,-0.212315,0.560161,0.401093,0.4,5,-0.250217,150.237,-0.0695345,0.382861,150.217,0.0196557,145.994,3.44486,0.402313,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
36,-264,-1.40896,149.46,-0.176419,0.448633,0.40094,0.4,6,-0.24426,150.257,-0.102452,0.448478,150.233,0.0235862,146.004,3.45702,0.402084,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
