count,tension_left,ms_left,ms_left_model,ms_speed_left,ms_speed_left_model,pressure_left,g_pressure_1,tension_right,ms_right,ms_right_model,ms_speed_right,ms_speed_right_model,natural_length_right_model,deformation_right_model,natural_length_left_model,deformation_left_model,pressure_right,g_pressure_2,start of cycle,angle,m5_Ia_+,m5_Ia_model_+,m5_Ia_-,m5_Ia_model_-,m5_Ib_-,m5_Ib_+,m7_Ia_+,m7_Ia_model_+,m7_Ia_-,m7_Ia_model_-,m7_Ib_-,m7_Ib_+,4.35795,2.99367,170.15,178.515,0,17343,77.915
405,33257,-1.24513,-53.029,0.0625213,-1162.53,0.400406,0.4,-6,-0.247239,150.328,-0.0102761,-0.88264,150.351,-0.0235983,146.036,-52.1375,0.400406,0.4,1,-29,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
406,33258,-1.24513,37.417,0.0581665,-2427.91,0.400101,0.4,-7,-0.247239,150.329,-0.000430257,-0.66145,150.357,-0.0275325,146.054,83.1166,0.40033,0.4,1,-29,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
407,33261,-1.24513,-138.044,0.0606736,-3217.16,0.400177,0.4,-6,-0.247239,150.306,0.0237496,-0.55983,150.33,-0.0235979,146.049,-152.798,0.400711,0.4,1,-28,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
408,33265,-1.24513,-656.592,0.0453375,-7905.68,0.400024,0.4,-8,-0.247239,150.299,0.027323,-0.717497,150.33,-0.0314663,146.059,-43.1788,0.400711,0.4,1,-29,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
409,33269,-1.24215,155.479,0.0467352,-10405.1,0.400482,0.4,-9,-0.250217,150.311,0.00146418,-0.76687,150.346,-0.0354014,146.031,-348.449,0.400482,0.4,1,-28,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
410,33270,-1.24215,236.438,0.0746253,-683.71,0.400177,0.4,-8,-0.247239,150.32,-0.0295909,-0.407992,150.351,-0.0314668,146.049,-13.9497,0.400406,0.4,1,-28,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
411,33270,-1.23619,333.811,0.125975,10693.4,0.400406,0.4,-3,-0.250217,150.324,-0.0345167,0.0802003,150.335,-0.0117975,146.036,-46.8537,0.400635,0.4,1,-28,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
412,33264,-1.23619,172.407,0.193202,13271.4,0.40033,0.4,-3,-0.247239,150.318,-0.0273237,0.334408,150.33,-0.0117974,146.04,108.489,0.400711,0.4,1,-28,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
413,33264,-1.23321,1073.87,0.228817,15290.4,0.400177,0.4,-1,-0.250217,150.326,-0.0169987,0.353946,150.33,-0.00393194,146.049,2033.32,0.400711,0.4,1,-28,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
414,33265,-1.23321,-14.2522,0.221746,15705.6,0.400406,0.4,1,-0.247239,150.334,-0.00813402,0.38885,150.33,0.00393236,146.036,-211.858,0.400711,0.4,1,-28,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
415,33268,-1.23321,139.893,0.178978,4112.4,0.400482,0.4,6,-0.247239,150.375,0.0177312,0.732789,150.351,0.0235883,146.031,-514.466,0.400406,0.4,1,-28,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
416,33270,-1.23321,-150.331,0.113032,-8963.98,0.400101,0.4,7,-0.247239,150.379,0.0436212,1.3084,150.351,0.0275186,146.054,99.8095,0.400406,0.4,1,-28,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
417,33272,-1.23321,182.535,0.0553102,-12567.3,0.399948,0.4,2,-0.247239,150.343,0.0425387,1.28186,150.335,0.00786409,146.063,482.139,0.400635,0.4,1,-28,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
418,33273,-1.23321,-11123,0.0165588,-84092.1,0.400101,0.4,-3,-0.247239,150.356,0.0306139,0.555616,150.368,-0.0117978,146.054,267.854,0.400177,0.4,1,-28,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
419,33273,-1.23917,266.703,-0.0438138,-164299,0.400177,0.4,-3,-0.250217,150.35,-0.00252291,-0.00175729,150.362,-0.0117977,146.049,-46.3045,0.400253,0.4,1,-28,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
420,33270,-1.23619,-150.331,-0.116775,-79226.5,0.400101,0.4,3,-0.247239,150.358,-0.035474,-0.168859,150.346,0.0117956,146.054,99.8095,0.400482,0.4,1,-28,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
421,33267,-1.23619,55.3494,-0.115382,49358.6,0.400177,0.4,7,-0.250217,150.39,-0.0395512,0.0859625,150.362,0.0275188,146.049,-101.355,0.400253,0.4,1,-28,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
422,33265,-1.23917,782.201,-0.0837158,93968.9,0.40033,0.4,5,-0.247239,150.376,-0.0306177,0.556729,150.357,0.0196578,146.04,-1033.36,0.40033,0.4,1,-28,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
423,33266,-1.23321,72.3224,-0.048075,93406.2,0.400406,0.4,-3,-0.250217,150.34,-0.0186655,0.389874,150.351,-0.0117976,146.036,-66.0789,0.400406,0.4,1,-28,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
424,33271,-1.23917,292.506,-0.000419565,64801.5,0.400177,0.4,-12,-0.250217,150.326,-0.0286736,-0.460757,150.373,-0.0472083,146.049,-140.598,0.400101,0.4,1,-28,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
425,33275,-1.23619,-315.735,-0.000609919,29613.8,0.40033,0.4,-17,-0.250217,150.295,-0.0450558,-1.32629,150.362,-0.0668906,146.04,-454.314,0.400253,0.4,1,-28,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
426,33276,-1.23619,127.193,-0.000476153,3373.34,0.400482,0.4,-13,-0.250217,150.29,-0.0396613,-1.86633,150.341,-0.051143,146.031,85.8199,0.400558,0.4,1,-28,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
427,33274,-1.23619,62.0761,0.0197226,-6949.44,0.40033,0.4,-3,-0.247239,150.34,-0.00673594,-1.53044,150.351,-0.0117976,146.04,11.9277,0.400406,0.4,1,-28,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
428,33270,-1.23619,236.438,0.0227391,-6067.35,0.400177,0.4,7,-0.250217,150.368,0.0286663,-0.152867,150.341,0.0275184,146.049,-13.9497,0.400558,0.4,1,-28,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
429,33266,-1.23917,60.0671,-0.0021108,-3343.49,0.400253,0.4,11,-0.250217,150.395,0.0155397,1.35432,150.351,0.0432368,146.045,0.903649,0.400406,0.4,1,-28,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
430,33264,-1.23917,172.407,-0.051719,-1756.27,0.40033,0.4,7,-0.250217,150.368,-0.0140732,1.98005,150.341,0.0275184,146.04,108.489,0.400558,0.4,1,-28,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
431,33265,-1.23917,782.201,-0.078202,3792.17,0.40033,0.4,2,-0.247239,150.338,-0.00250082,1.32256,150.33,0.00786406,146.04,-1033.36,0.400711,0.4,1,-28,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
432,33266,-1.24215,60.0671,-0.088035,9152.35,0.400253,0.4,-3,-0.250217,150.324,0.0229489,0.0129494,150.335,-0.0117975,146.045,0.903649,0.400635,0.4,1,-28,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
433,33265,-1.24513,252.595,-0.128353,4585.19,0.400177,0.4,-7,-0.250217,150.308,0.00725895,-1.03284,150.335,-0.0275321,146.049,-16.7863,0.400635,0.4,1,-28,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
434,33263,-1.24215,222.756,-0.150412,-999.68,0.400101,0.4,-8,-0.247239,150.293,-0.00120638,-1.59155,150.325,-0.0314662,146.054,449.542,0.400787,0.4,1,-28,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
435,33262,-1.24215,-42.6269,-0.0990004,-3926.3,0.400177,0.4,-5,-0.247239,150.321,0.0355679,-1.50753,150.341,-0.0196642,146.049,77.6851,0.400558,0.4,1,-28,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
436,33262,-1.24215,191.593,-0.0310934,-6272.52,0.40033,0.4,1,-0.247239,150.366,0.0611228,-0.487252,150.362,0.00393245,146.04,-42.6087,0.400253,0.4,1,-28,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
437,33264,-1.24215,172.407,0.00532841,-4319.19,0.40033,0.4,2,-0.247239,150.327,0.0551797,0.597228,150.319,0.007864,146.04,108.489,0.400864,0.4,1,-28,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
438,33268,-1.24215,139.893,0.0189257,-1252.43,0.400482,0.4,0,-0.250217,150.373,0.0177001,0.975498,150.373,3.51E-07,146.031,-514.466,0.400101,0.4,1,-28,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
439,33272,-1.23619,-243.322,0.0592289,-2775.98,0.400177,0.4,1,-0.250217,150.366,-0.0428228,1.18201,150.362,0.00393245,146.049,-23.1825,0.400253,0.4,1,-28,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
440,33275,-1.23917,139.2,0.119418,-5419.33,0.400406,0.4,3,-0.247239,150.363,-0.0563284,1.14769,150.351,0.0117957,146.036,-459.726,0.400406,0.4,1,-28,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
441,33275,-1.23619,-315.735,0.131696,-5507.11,0.40033,0.4,2,-0.247239,150.354,-0.00658201,0.677541,150.346,0.00786416,146.04,-454.314,0.400482,0.4,1,-28,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
442,33271,-1.23619,226.832,0.121128,-3942.71,0.400406,0.4,0,-0.247239,150.357,0.0357907,0.175887,150.357,3.53E-07,146.036,-1.73061,0.40033,0.4,1,-28,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
443,33266,-1.23321,60.0671,0.124047,879.309,0.400253,0.4,-2,-0.250217,150.333,0.0236394,-0.263292,150.341,-0.0078646,146.045,0.903649,0.400558,0.4,1,-28,0,1.09914,0,1.09914,0,0,0,0,0,0,0,0,,,,,,,
444,33264,-1.22726,201.911,0.171784,4989.2,0.400253,0.4,-7,-0.250217,150.329,-0.0277267,-0.699818,150.357,-0.0275325,146.045,-65.7584,0.40033,0.4,1,-28,0,6.23651,0,6.23651,0,0,0,0,0,0,0,0,,,,,,,
445,33266,-1.22428,237.237,0.265155,6363.7,0.400101,0.4,-9,-0.247239,150.316,-0.0414656,-0.988701,150.351,-0.0354016,146.054,-182.49,0.400406,0.4,1,-28,0,7.95463,0,7.95463,0,0,0,0,0,0,0,0,,,,,,,
446,33269,-1.21534,9.10346,0.372073,5110.32,0.400177,0.4,-9,-0.253196,150.311,-0.0359759,-1.07862,150.346,-0.0354014,146.049,-59.5515,0.400482,0.4,1,-28,0,7.95463,0,7.95463,0,0,0,0,0,0,0,0,,,,,,,
447,33268,-1.20938,563.534,0.495653,4109.38,0.400177,0.4,-5,-0.250217,150.326,-0.0639836,-0.879799,150.346,-0.0196643,146.049,388.617,0.400482,0.4,1,-28,0,7.95463,0,7.95463,0,0,0,0,0,0,0,0,,,,,,,
448,33267,-1.20045,4661.21,0.612817,36010.1,0.400024,0.4,-2,-0.247239,150.338,-0.0382794,-0.30594,150.346,-0.00786463,146.059,-35.9789,0.400482,0.4,1,-28,0,45.0126,0,45.0126,0,0,0,0,0,0,0,0,,,,,,,
449,33269,-1.19449,-37.8239,0.695734,66717.7,0.400101,0.4,-1,-0.250217,150.342,0.0226823,0.30389,150.346,-0.00393199,146.054,27.601,0.400482,0.4,1,-28,0,83.3972,0,83.3972,0,0,0,0,0,0,0,0,,,,,,,
450,33273,-1.18257,170.234,0.762009,27315,0.399948,0.4,-1,-0.250217,150.331,0.0218005,0.533635,150.335,-0.00393196,146.063,443.762,0.400635,0.4,1,-28,0,83.3972,0,83.3972,0,0,0,0,0,0,0,0,,,,,,,
451,33274,-1.17662,197.3,0.82339,-24841.9,0.399948,0.4,-2,-0.253196,150.317,-0.0243495,0.268831,150.325,-0.0078645,146.063,1857.96,0.400787,0.4,1,-28,0,83.3972,0,83.3972,0,0,0,0,0,0,0,0,,,,,,,
452,33276,-1.17364,212.915,0.806229,-37806.9,0.400253,0.4,-3,-0.250217,150.324,-0.0567112,-0.135607,150.335,-0.0117975,146.045,-205.591,0.400635,0.4,1,-28,0,83.3972,0,83.3972,0,0,0,0,0,0,0,0,,,,,,,
453,33281,-1.17364,355.714,0.661484,-31608.3,0.400101,0.4,-1,-0.250217,150.331,-0.0347099,-0.220073,150.335,-0.00393196,146.054,24.8432,0.400635,0.4,1,-28,0,83.3972,0,83.3972,0,0,0,0,0,0,0,0,,,,,,,
454,33287,-1.16768,-148.953,0.483252,-21887.6,0.400101,0.4,1,-0.250217,150.345,0.00373676,0.0444704,150.341,0.00393239,146.054,-38.9077,0.400558,0.4,1,-28,0,83.3972,0,83.3972,0,0,0,0,0,0,0,0,,,,,,,
455,33290,-1.1647,122.932,0.379286,-15962.8,0.400024,0.4,-4,-0.247239,150.336,0.0385945,0.312129,150.351,-0.0157309,146.059,591.728,0.400406,0.4,1,-28,0,83.3972,0,83.3972,0,0,0,0,0,0,0,0,,,,,,,
456,33292,-1.1647,301.369,0.314023,-7750.69,0.399948,0.4,-8,-0.250217,150.315,0.0625652,0.165616,150.346,-0.0314667,146.063,-29.9211,0.400482,0.4,1,-28,0,83.3972,0,83.3972,0,0,0,0,0,0,0,0,,,,,,,
457,33294,-1.15874,145.961,0.262337,908.059,0.400024,0.4,-9,-0.250217,150.305,0.0355825,-0.345218,150.341,-0.0354013,146.059,-50.8364,0.400558,0.4,1,-28,0,83.3972,0,83.3972,0,0,0,0,0,0,0,0,,,,,,,
458,33298,-1.1647,305.906,0.210227,4421.93,0.399948,0.4,-5,-0.247239,150.31,0.0148331,-0.695789,150.33,-0.0196641,146.063,-261.641,0.400711,0.4,1,-28,0,83.3972,0,83.3972,0,0,0,0,0,0,0,0,,,,,,,
459,33301,-1.1647,104.523,0.0920386,4433.32,0.400024,0.4,-1,-0.247239,150.353,0.042237,-0.362903,150.357,-0.00393202,146.059,-88.8368,0.40033,0.4,1,-27,0,83.3972,0,83.3972,0,0,0,0,0,0,0,0,,,,,,,
460,33300,-1.17066,169.3,-0.0613913,2049.86,0.399948,0.4,6,-0.250217,150.391,0.0422205,0.731892,150.368,0.0235886,146.063,60.3167,0.400177,0.4,1,-27,0,83.3972,0,83.3972,0,0,0,0,0,0,0,0,,,,,,,
461,33299,-1.17066,-16.4785,-0.187836,-1215.51,0.40033,0.4,11,-0.250217,150.4,-0.0090149,1.84271,150.357,0.043237,146.04,-55.8711,0.40033,0.4,1,-27,0,83.3972,0,83.3972,0,0,0,0,0,0,0,0,,,,,,,
462,33298,-1.1796,301.986,-0.28919,-2155.14,0.399872,0.4,14,-0.247239,150.406,-0.0276494,2.22255,150.351,0.0550224,146.068,84.8924,0.400406,0.4,1,-27,0,83.3972,0,83.3972,0,0,0,0,0,0,0,0,,,,,,,
463,33296,-1.18257,-3128.92,-0.393004,-21961,0.400101,0.4,13,-0.253196,150.413,-0.0278696,1.97135,150.362,0.0510946,146.054,61.0256,0.400253,0.4,1,-27,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
464,33295,-1.18555,622.472,-0.449777,-42993.1,0.399948,0.4,8,-0.253196,150.399,-0.0804225,1.37443,150.368,0.031449,146.063,-86.6978,0.400177,0.4,1,-27,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
465,33298,-1.18853,-1484.07,-0.431765,-26958.4,0.400024,0.4,2,-0.250217,150.392,-0.100418,0.561082,150.384,0.00786438,146.059,-84.2583,0.399948,0.4,1,-27,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
466,33302,-1.18853,95.473,-0.367773,-5580.93,0.400024,0.4,1,-0.253196,150.366,-0.0616179,-0.292969,150.362,0.00393245,146.059,-29.6918,0.400253,0.4,1,-27,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
467,33303,-1.19449,-77.3526,-0.302083,10685.2,0.400101,0.4,4,-0.253196,150.383,-0.0490247,-0.842869,150.368,0.015727,146.054,85.4098,0.400177,0.4,1,-27,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
468,33300,-1.19747,169.3,-0.293401,24469.4,0.399948,0.4,9,-0.247239,150.376,-0.0106149,-0.830939,150.341,0.035378,146.063,60.3167,0.400558,0.4,1,-27,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
469,33298,-1.19449,78.1627,-0.270674,25099.7,0.400101,0.4,14,-0.253196,150.412,0.0482113,-0.343605,150.357,0.0550226,146.054,148.149,0.40033,0.4,1,-27,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
470,33296,-1.19747,-3128.92,-0.188322,-2468.62,0.400101,0.4,12,-0.253196,150.415,0.0196896,0.400054,150.368,0.0471662,146.054,61.0256,0.400177,0.4,1,-27,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
471,33294,-1.19747,190.801,-0.123487,-34492.1,0.400101,0.4,1,-0.250217,150.366,-0.0173007,0.550677,150.362,0.00393245,146.054,-119.891,0.400253,0.4,1,-27,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
472,33293,-1.19747,219.127,-0.083365,-15137.9,0.400024,0.4,-11,-0.250217,150.308,0.0120893,-0.556411,150.351,-0.0432719,146.059,17.819,0.400406,0.4,1,-27,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
473,33295,-1.20045,316.058,-0.0643903,20252.8,0.400253,0.4,-14,-0.250217,150.312,0.0409552,-1.9356,150.368,-0.0550803,146.045,35.4289,0.400177,0.4,1,-27,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
474,33299,-1.20343,-94.0761,-0.0992648,28151.4,0.400253,0.4,-14,-0.253196,150.296,0.0219024,-2.41999,150.351,-0.0550796,146.045,66.5286,0.400406,0.4,1,-27,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
475,33303,-1.20343,-891.819,-0.146795,13610,0.40033,0.4,-14,-0.250217,150.302,-0.01164,-2.11716,150.357,-0.0550799,146.04,-41.8097,0.40033,0.4,1,-27,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
476,33305,-1.20045,-896.216,-0.126805,-9586.17,0.40033,0.4,-10,-0.253196,150.296,-0.0220456,-1.49439,150.335,-0.0393361,146.04,78.9508,0.400635,0.4,1,-27,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
477,33305,-1.20938,131.332,-0.104695,-15086.7,0.400177,0.4,-6,-0.250217,150.328,-0.0200984,-0.659934,150.351,-0.0235983,146.049,-31.7872,0.400406,0.4,1,-27,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
478,33303,-1.20045,670.601,-0.107754,4150.69,0.400024,0.4,-6,-0.250217,150.312,0.00633994,0.145114,150.335,-0.023598,146.059,-187.673,0.400635,0.4,1,-27,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
479,33301,-1.19747,195.024,-0.000117292,21956.3,0.399948,0.4,-9,-0.250217,150.3,0.0356087,0.357461,150.335,-0.0354011,146.063,-713.926,0.400635,0.4,1,-27,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
480,33299,-1.19747,39.69,0.14427,19593.9,0.400101,0.4,-5,-0.250217,150.326,0.0380829,0.260345,150.346,-0.0196643,146.054,-232.803,0.400482,0.4,1,-27,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
481,33297,-1.18853,235.893,0.24484,9376.89,0.399872,0.4,9,-0.247239,150.381,0.0488124,0.795888,150.346,0.0353781,146.068,58.4406,0.400482,0.4,1,-27,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
482,33296,-1.19449,451.206,0.300212,5663.05,0.400177,0.4,18,-0.247239,150.428,0.0800388,2.02783,150.357,0.0707326,146.049,-11.5946,0.40033,0.4,1,-27,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
483,33301,-1.19151,174.799,0.242051,4952.5,0.40033,0.4,13,-0.250217,150.413,0.0713172,2.88118,150.362,0.0510946,146.04,760.618,0.400253,0.4,1,-27,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
