count,tension_left,ms_left,ms_left_model,ms_speed_left,ms_speed_left_model,pressure_left,g_pressure_1,tension_right,ms_right,ms_right_model,ms_speed_right,ms_speed_right_model,natural_length_right_model,deformation_right_model,natural_length_left_model,deformation_left_model,pressure_right,g_pressure_2,start of cycle,angle,m5_Ia_+,m5_Ia_model_+,m5_Ia_-,m5_Ia_model_-,m5_Ib_-,m5_Ib_+,m7_Ia_+,m7_Ia_model_+,m7_Ia_-,m7_Ia_model_-,m7_Ib_-,m7_Ib_+,4.00348,2.89537,170.186,178.853,33515,18125,77.2119
640,-907,0.369368,153.76,-1.25104,80.5277,0.427414,0.4,15,-0.0595756,150.067,-0.647124,-8.99002,150.008,0.0589342,144.412,9.34758,0.405289,0.4,1,-41,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
641,-854,0.151918,155.531,-0.296728,44.6397,0.394531,0.4,19,-0.0953209,151.815,-0.336208,-9.04695,151.741,0.0747427,146.389,9.14214,0.380646,0.4,1,-38,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
642,-777,0.271069,155.721,-2.31609,17.7013,0.382095,0.4,20,-0.116172,149.534,-0.419184,5.67628,149.456,0.0785287,147.136,8.5845,0.413147,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
643,-689,0.0625543,152.065,-3.79954,-8.31473,0.425507,0.4,20,-0.0744694,150.028,-0.579538,-5.18141,149.949,0.07856,144.527,7.53799,0.406128,0.4,1,-34,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
644,-604,0.080427,154.442,-5.27557,-48.7756,0.378281,0.4,19,-0.101278,151.649,-0.247603,-5.99752,151.574,0.0747327,147.365,7.07606,0.383011,0.4,1,-33,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
645,-528,-0.148939,152.135,-7.1662,-60.5177,0.402237,0.4,16,-0.125109,149.578,-0.283268,6.44014,149.515,0.0628359,145.926,6.20925,0.412308,0.4,1,-32,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
646,-458,-0.140003,150.772,-8.91713,-73.2348,0.412537,0.4,16,-0.0923421,149.985,-0.502349,-4.40251,149.922,0.0628564,145.307,5.46514,0.406509,0.4,1,-31,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
647,-393,-0.172769,152.603,-8.87631,-80.1884,0.374542,0.4,12,-0.119151,151.466,-0.358577,-6.20009,151.419,0.0472054,147.59,5.01286,0.385223,0.4,1,-30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
648,-339,-0.238302,149.1,-7.28489,-69.4429,0.419327,0.4,3,-0.131066,149.618,-0.423326,4.96506,149.606,0.011789,144.898,4.20197,0.411011,0.4,1,-29,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
649,-300,-0.306814,150.115,-6.22275,-74.1506,0.397125,0.4,-1,-0.107236,149.924,-0.515783,-4.56312,149.928,-0.00393068,146.233,3.88261,0.406433,0.4,1,-29,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
